year,province,university_code,university_name,major_name,major_name_normalized,admission_method,subject_combinations,cutoff_score,score_scale,education_level,source_url
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),An toàn không gian số - Cyber Security (CT Tiên tiến) (Xem),An toàn không gian số - Cyber Security (CT Tiên tiến) (Xem),unknown,,28.69,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),CNTT Khoa học Máy tính (Xem),CNTT Khoa học Máy tính (Xem),unknown,,29.19,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),CNTT Kỹ thuật Máy tính (Xem),CNTT Kỹ thuật Máy tính (Xem),unknown,,28.83,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ Dệt - May (Xem),Công nghệ Dệt - May (Xem),unknown,,22.48,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi-page2?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ giáo dục (Xem),Công nghệ giáo dục (Xem),unknown,,23.30,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi-page2?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ thông tin (Global ICT) (Xem),Công nghệ thông tin (Global ICT) (Xem),unknown,,28.66,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ thông tin (Việt - Nhật) (Xem),Công nghệ thông tin (Việt - Nhật) (Xem),unknown,,27.97,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ thông tin (Việt - Pháp) (Xem),Công nghệ thông tin (Việt - Pháp) (Xem),unknown,,27.83,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Công nghệ vật liệu Polyme và Compozit (Xem),Công nghệ vật liệu Polyme và Compozit (Xem),unknown,,25.16,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi-page1?keyword=BKA
2025,Hà Nội,BKA,Đại học Bách khoa Hà Nội (Xem),Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc) (Xem),Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc) (Xem),unknown,,25.00,30,đại học,https://vietnamnet.vn/giao-duc/diem-thi/tra-cuu-diem-chuan-cd-dh-2025/truong/dai-hoc-bach-khoa-ha-noi-page1?keyword=BKA
