rule,antecedents,consequents,support,confidence,lift
Ngành:Sư phạm - Giáo dục + Xu hướng:Ổn định → Cạnh tranh:Rất cao,Ngành:Sư phạm - Giáo dục + Xu hướng:Ổn định,Cạnh tranh:Rất cao,0.0225,0.6527,4.4575
Ngành:Sư phạm - Giáo dục → Cạnh tranh:Rất cao + Xu hướng:Ổn định,Ngành:Sư phạm - Giáo dục,Cạnh tranh:Rất cao + Xu hướng:Ổn định,0.0225,0.3974,4.3148
Ngành:Sư phạm - Giáo dục → Cạnh tranh:Rất cao,Ngành:Sư phạm - Giáo dục,Cạnh tranh:Rất cao,0.0349,0.6169,4.2129
TH:C00 + Xu hướng:Ổn định → Cạnh tranh:Rất cao,TH:C00 + Xu hướng:Ổn định,Cạnh tranh:Rất cao,0.0065,0.3301,2.2543
Ngành:Y - Dược → Cạnh tranh:Trung bình,Ngành:Y - Dược,Cạnh tranh:Trung bình,0.0133,0.4972,2.1868
Ngành:Y - Dược + Xu hướng:Ổn định → Cạnh tranh:Trung bình,Ngành:Y - Dược + Xu hướng:Ổn định,Cạnh tranh:Trung bình,0.0075,0.4926,2.1666
TH:C00 → Cạnh tranh:Rất cao,TH:C00,Cạnh tranh:Rất cao,0.0101,0.3047,2.0808
Cạnh tranh:Trung bình + TH:C01 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:C01,Ngành:Kỹ thuật - Công nghệ,0.0078,0.5698,1.8222
Ngành:Nông - Lâm - Ngư + Xu hướng:Ổn định → Cạnh tranh:Thấp,Ngành:Nông - Lâm - Ngư + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0062,0.7799,1.8058
Ngành:Nông - Lâm - Ngư → Cạnh tranh:Thấp + Xu hướng:Ổn định,Ngành:Nông - Lâm - Ngư,Cạnh tranh:Thấp + Xu hướng:Ổn định,0.0062,0.454,1.7878
Ngành:Luật - Xã hội → Cạnh tranh:Cao,Ngành:Luật - Xã hội,Cạnh tranh:Cao,0.0117,0.3467,1.7842
Ngành:Nông - Lâm - Ngư → Cạnh tranh:Thấp,Ngành:Nông - Lâm - Ngư,Cạnh tranh:Thấp,0.0104,0.7649,1.7712
Ngành:Luật - Xã hội + Xu hướng:Ổn định → Cạnh tranh:Cao,Ngành:Luật - Xã hội + Xu hướng:Ổn định,Cạnh tranh:Cao,0.0066,0.3385,1.7417
TH:D09 → Ngành:Kinh tế - Quản trị,TH:D09,Ngành:Kinh tế - Quản trị,0.0077,0.3961,1.676
Ngành:Sư phạm - Giáo dục → Cạnh tranh:Cao,Ngành:Sư phạm - Giáo dục,Cạnh tranh:Cao,0.0182,0.321,1.6518
Cạnh tranh:Thấp + TH:C00 → Ngành:Kinh tế - Quản trị,Cạnh tranh:Thấp + TH:C00,Ngành:Kinh tế - Quản trị,0.0063,0.3874,1.6393
TH:C14 → Cạnh tranh:Thấp,TH:C14,Cạnh tranh:Thấp,0.0093,0.7072,1.6376
TH:C14 → Cạnh tranh:Thấp + Xu hướng:Ổn định,TH:C14,Cạnh tranh:Thấp + Xu hướng:Ổn định,0.0055,0.4152,1.6351
TH:C14 + Xu hướng:Ổn định → Cạnh tranh:Thấp,TH:C14 + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0055,0.7043,1.6307
Ngành:Kinh tế - Quản trị + TH:C00 → Cạnh tranh:Thấp,Ngành:Kinh tế - Quản trị + TH:C00,Cạnh tranh:Thấp,0.0063,0.6871,1.5911
Cạnh tranh:Thấp + TH:C03 → Ngành:Kinh tế - Quản trị,Cạnh tranh:Thấp + TH:C03,Ngành:Kinh tế - Quản trị,0.0077,0.3738,1.5816
TH:C01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:C01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0165,0.4934,1.578
TH:A02 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:A02 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0053,0.4928,1.5761
TH:C01 → Ngành:Kỹ thuật - Công nghệ,TH:C01,Ngành:Kỹ thuật - Công nghệ,0.0285,0.4925,1.5752
TH:D10 → Ngành:Kinh tế - Quản trị,TH:D10,Ngành:Kinh tế - Quản trị,0.0072,0.3711,1.5703
TH:A02 → Ngành:Kỹ thuật - Công nghệ,TH:A02,Ngành:Kỹ thuật - Công nghệ,0.0091,0.4872,1.5583
Cạnh tranh:Thấp + TH:C01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:C01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.007,0.478,1.5286
Ngành:Kỹ thuật - Công nghệ + TH:C02 → Cạnh tranh:Trung bình,Ngành:Kỹ thuật - Công nghệ + TH:C02,Cạnh tranh:Trung bình,0.0052,0.3473,1.5274
