major_name,cluster,cluster_label
7220201,0,Ngành Cạnh tranh Cao
7340101,0,Ngành Cạnh tranh Cao
7340102,0,Ngành Cạnh tranh Cao
7340120,0,Ngành Cạnh tranh Cao
7340201,0,Ngành Cạnh tranh Cao
7380101,0,Ngành Cạnh tranh Cao
7380109,0,Ngành Cạnh tranh Cao
7720101,0,Ngành Cạnh tranh Cao
7720115,0,Ngành Cạnh tranh Cao
7720201,0,Ngành Cạnh tranh Cao
7720301,0,Ngành Cạnh tranh Cao
7720501,0,Ngành Cạnh tranh Cao
An ninh mạng,0,Ngành Cạnh tranh Cao
An toàn dữ liệu và an ninh mạng,0,Ngành Cạnh tranh Cao
An toàn không gian số - Cyber Security (CT Tiên tiến),0,Ngành Cạnh tranh Cao
An toàn thông tin,1,Ngành Cạnh tranh Khá
An toàn thông tin (Một số học phần chuyên ngành học bằng tiếng Anh),0,Ngành Cạnh tranh Cao
An toàn thông tin (kỹ sư),0,Ngành Cạnh tranh Cao
An toàn thông tin (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
An toàn thông tin - Chất lượng cao,0,Ngành Cạnh tranh Cao
"An toàn, Vệ sinh lao động",0,Ngành Cạnh tranh Cao
"An toàn, sức khoẻ và môi trường (ngành Khoa học môi trường)",0,Ngành Cạnh tranh Cao
Biên kịch điện ảnh,0,Ngành Cạnh tranh Cao
Biên phòng (Quân khu 4),0,Ngành Cạnh tranh Cao
Biên phòng (Quân khu 5),0,Ngành Cạnh tranh Cao
Biên phòng (Quân khu 7),0,Ngành Cạnh tranh Cao
Biên phòng (Quân khu 9),0,Ngành Cạnh tranh Cao
Biên phòng (Thí sinh miền Bắc),0,Ngành Cạnh tranh Cao
Biên tập truyền hình,0,Ngành Cạnh tranh Cao
Biên đạo múa,0,Ngành Cạnh tranh Cao
Biên đạo múa đại chúng,0,Ngành Cạnh tranh Cao
Biến đổi khí hậu,0,Ngành Cạnh tranh Cao
Biến đổi khí hậu và phát triển bền vững,0,Ngành Cạnh tranh Cao
Biểu diễn nhạc cụ truyền thống,0,Ngành Cạnh tranh Cao
Báo chí,0,Ngành Cạnh tranh Cao
Báo chí (Chuẩn Quốc tế),0,Ngành Cạnh tranh Cao
Bảo hiểm,1,Ngành Cạnh tranh Khá
Bảo hiểm (CS Hà Nội),0,Ngành Cạnh tranh Cao
Bảo hiểm (CS Nam Định),0,Ngành Cạnh tranh Cao
Bảo hiểm - Tài chính,0,Ngành Cạnh tranh Cao
Bảo hiểm tích hợp chứng chỉ ANZ1IF - CT CLC1,0,Ngành Cạnh tranh Cao
Bảo hộ lao động,0,Ngành Cạnh tranh Cao
Bảo hộ lao động - Chương trình học tại Phân hiệu Khánh Hòa,0,Ngành Cạnh tranh Cao
Bảo tàng học,0,Ngành Cạnh tranh Cao
Bảo vệ thực vật,0,Ngành Cạnh tranh Cao
Bất động sản,1,Ngành Cạnh tranh Khá
Bất động sản (chương trình chuẩn),0,Ngành Cạnh tranh Cao
Bệnh học thủy sản,0,Ngành Cạnh tranh Cao
CNKT CT xây dựng Chương trình Tiên tiến,0,Ngành Cạnh tranh Cao
CNKT Cầu đường bộ (học tại Vĩnh Phúc),0,Ngành Cạnh tranh Cao
CNKT công trình xây dựng dân dụng và công nghiệp,0,Ngành Cạnh tranh Cao
CNKT cơ khí tàu thủy và công trình nổi,0,Ngành Cạnh tranh Cao
CNKT cơ khí đầu máy - toa xe và tàu điện Metro,0,Ngành Cạnh tranh Cao
CNKT cơ điện tử,0,Ngành Cạnh tranh Cao
CNKT điều khiển và tự động hóa,0,Ngành Cạnh tranh Cao
CNKT điện tử viễn thông,0,Ngành Cạnh tranh Cao
CNKT điện điện tử,0,Ngành Cạnh tranh Cao
CNTT: Khoa học Máy tính,0,Ngành Cạnh tranh Cao
CNTT: Kỹ thuật Máy tính,0,Ngành Cạnh tranh Cao
CT CLC Kinh doanh quốc tế,0,Ngành Cạnh tranh Cao
CT CLC Kinh tế quốc tế,0,Ngành Cạnh tranh Cao
CT CLC Kinh tế đối ngoại,0,Ngành Cạnh tranh Cao
CT CLC Quản tri kinh doanh,0,Ngành Cạnh tranh Cao
CT CLC Quản trị kinh doanh,0,Ngành Cạnh tranh Cao
CT CLC Tiếng Nhật thương mại,0,Ngành Cạnh tranh Cao
CT CLC Tài chinh - Ngân hàng,0,Ngành Cạnh tranh Cao
CT CLC Tài chính - Ngân hàng,0,Ngành Cạnh tranh Cao
CT TC Kinh doanh quốc tế,0,Ngành Cạnh tranh Cao
CT TC Kinh tế dối ngoại,0,Ngành Cạnh tranh Cao
CT TC Kinh tế quốc tế,0,Ngành Cạnh tranh Cao
CT TC Kinh tế đối ngoại,0,Ngành Cạnh tranh Cao
CT TC Kế toán - Kiếm toán,0,Ngành Cạnh tranh Cao
CT TC Kế toán - Kiểm toán,0,Ngành Cạnh tranh Cao
CT TC Luật thương mại quốc tế,0,Ngành Cạnh tranh Cao
CT TC Quản trị kinh doanh,0,Ngành Cạnh tranh Cao
CT TC Tiếng Nhật thương mại,0,Ngành Cạnh tranh Cao
CT TC Tài chính - Ngân hàng,0,Ngành Cạnh tranh Cao
CT TT Kinh tế đối ngoại,0,Ngành Cạnh tranh Cao
CT TT Quản tri kinh doanh,0,Ngành Cạnh tranh Cao
CT TT Tài chính - Ngân hàng,0,Ngành Cạnh tranh Cao
CT TT i-Hons hợp tác với Đại học Queensland về Kinh doanh quốc tế và Phân tích dữ liệu kinh doanh,0,Ngành Cạnh tranh Cao
CT Tích hợp tiếng Pháp thương mại,0,Ngành Cạnh tranh Cao
