school_name,cluster,cluster_label
ANH-Học Viện An Ninh Nhân Dân,1,Trường Top
ANS-Trường Đại Học An Ninh Nhân Dân,1,Trường Top
BKA-Đại Học Bách Khoa Hà Nội,1,Trường Top
BMU-Trường Đại học Y Dược Buôn Ma Thuột,1,Trường Top
BPH-Học Viện Biên Phòng,1,Trường Top
BVH-Học Viện Công Nghệ Bưu Chính Viễn Thông,1,Trường Top
BVS-Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),1,Trường Top
BVU-Trường Đại Học Bà Rịa – Vũng Tàu,0,Trường Khá
CCM-Trường Đại học Công nghiệp và Thương mại Hà Nội,0,Trường Khá
CEA-Trường Đại học Nghệ An,1,Trường Top
CMC-Trường Đại Học CMC,1,Trường Top
CSH-Học Viện Cảnh Sát Nhân Dân,1,Trường Top
CSS-Trường Đại Học Cảnh Sát Nhân Dân,1,Trường Top
DAD-Trường Đại Học Đông Á,0,Trường Khá
DBD-Trường Đại Học Bình Dương,0,Trường Khá
DBG-Trường Đại học Nông Lâm Bắc Giang,0,Trường Khá
DBL-Trường Đại Học Bạc Liêu,1,Trường Top
DCD-Trường Đại Học Công Nghệ Đồng Nai,0,Trường Khá
DCH-Trường Sĩ Quan Đặc Công,0,Trường Khá
DCL-Trường Đại Học Cửu Long,0,Trường Khá
DCN-Đại Học Công Nghiệp Hà Nội,1,Trường Top
DCQ-Trường Đại Học Công Nghệ và Quản Lý Hữu Nghị,0,Trường Khá
DCT-Trường Đại Học Công Thương TPHCM,1,Trường Top
DCV-Trường Đại học Công nghiệp Vinh,1,Trường Top
DDF-Trường Đại Học Ngoại Ngữ Đà Nẵng,1,Trường Top
DDK-Trường Đại Học Bách Khoa Đà Nẵng,1,Trường Top
DDL-Trường Đại Học Điện Lực,1,Trường Top
DDM-Trường Đại Học Công Nghiệp Quảng Ninh,0,Trường Khá
DDN-Trường Đại Học Đại Nam,0,Trường Khá
DDP-Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,1,Trường Top
DDQ-Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,1,Trường Top
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,1,Trường Top
DDT-Đại Học Duy Tân,0,Trường Khá
DDU-Trường Đại Học Đông Đô,2,Trường Trung bình
DDV-Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,0,Trường Khá
DDY-Trường Y Dược Đà Nẵng,1,Trường Top
DFA-Trường Đại học Tài chính Quản trị kinh doanh,0,Trường Khá
DHA-Trường Đại học Luật Huế,0,Trường Khá
DHC-Khoa Giáo Dục Thể Chất Huế,0,Trường Khá
DHD-Trường Du Lịch - Đại Học Huế,0,Trường Khá
DHE-Khoa Kỹ thuật và Công nghệ - Đại học Huế,1,Trường Top
DHF-Trường Đại Học Ngoại Ngữ Huế,1,Trường Top
DHI-Khoa Quốc tế - Đại học Huế,0,Trường Khá
DHK-Trường Đại Học Kinh Tế - Đại Học Huế,0,Trường Khá
DHL-Trường Đại Học Nông Lâm Huế,0,Trường Khá
DHN-Trường Đại Học Nghệ Thuật Huế,0,Trường Khá
DHQ-Phân Hiệu Đại Học Huế tại Quảng Trị,0,Trường Khá
DHS-Trường Đại Học Sư Phạm Huế,1,Trường Top
DHT-Trường Đại Học Khoa Học Huế,0,Trường Khá
DHV-Trường Đại học Hùng Vương TPHCM,0,Trường Khá
DHY-Trường Đại Học Y Dược Huế,1,Trường Top
DKB-Trường Đại Học Kinh Tế Kỹ Thuật Bình Dương,2,Trường Trung bình
DKC-Trường Đại học Công Nghệ TPHCM,0,Trường Khá
DKH-Trường Đại Học Dược Hà Nội,1,Trường Top
DKK-Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,1,Trường Top
DKS-Trường Đại học Kiểm Sát,1,Trường Top
DKT-Trường Đại Học Hải Dương,1,Trường Top
DKY-Trường Đại Học Kỹ Thuật Y Tế Hải Dương,1,Trường Top
DLA-Trường Đại Học Kinh Tế Công Nghiệp Long An,0,Trường Khá
DLH-Trường Đại Học Lạc Hồng,0,Trường Khá
DLS-Trường Đại Học Lao Động – Xã Hội (Cơ sở II),2,Trường Trung bình
DLX-Trường Đại Học Lao Động – Xã Hội,1,Trường Top
DMS-Trường Đại Học Tài Chính Marketing,1,Trường Top
DMT-Trường Đại học Tài Nguyên và Môi Trường Hà Nội,1,Trường Top
DNB-Trường Đại Học Hoa Lư,1,Trường Top
DNC-Trường Đại học Nam Cần Thơ,0,Trường Khá
DNT-Trường Đại Học Ngoại Ngữ Tin Học TPHCM,0,Trường Khá
DNU-Trường Đại Học Đồng Nai,1,Trường Top
DPC-Trường Đại Học Phan Châu Trinh,0,Trường Khá
DPD-Trường Đại Học Phương Đông,0,Trường Khá
DPQ-Trường Đại Học Phạm Văn Đồng,1,Trường Top
DPT-Trường Đại Học Phan Thiết,0,Trường Khá
DPX-Trường Đại Học Phú Xuân,0,Trường Khá
DPY-Trường Đại Học Phú Yên,1,Trường Top
DQB-Trường Đại Học Quảng Bình,1,Trường Top
DQK-Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,0,Trường Khá
DQN-Trường Đại Học Quy Nhơn,1,Trường Top
DQT-Trường Đại Học Quang Trung,2,Trường Trung bình
DQU-Trường Đại Học Quảng Nam,1,Trường Top
DSD-Trường Đại Học Sân Khấu Điện Ảnh TPHCM,1,Trường Top
DSG-Trường Đại Học Công Nghệ Sài Gòn,0,Trường Khá
DSK-Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,1,Trường Top
DTB-Trường Đại Học Thái Bình,0,Trường Khá
DTC-Trường Đại học Công Nghệ Thông Tin và Truyền Thông Thái Nguyên,0,Trường Khá
