school_code,school_name,province,school_type,website,established_year,region
KHA,Đại Học Kinh Tế Quốc Dân,Hà Nội,Công lập,,,Miền Bắc
BKA,Đại Học Bách Khoa Hà Nội,Hà Nội,Công lập,,,Miền Bắc
HTC,Học Viện Tài chính,Hà Nội,Công lập,,,Miền Bắc
NHH,Học Viện Ngân Hàng,Hà Nội,Công lập,,,Miền Bắc
NTH,Trường Đại học Ngoại thương,Hà Nội,Công lập,,,Miền Bắc
YHB,Trường Đại Học Y Hà Nội,Hà Nội,Công lập,,,Miền Bắc
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông,Hà Nội,Công lập,,,Miền Bắc
SPH,Trường Đại Học Sư Phạm Hà Nội,Hà Nội,Công lập,,,Miền Bắc
TMU,Trường Đại Học Thương Mại,Hà Nội,Công lập,,,Miền Bắc
SPS,Trường Đại Học Sư Phạm TPHCM,TP.HCM,Công lập,,,Miền Nam
YDS,Đại Học Y Dược TPHCM,TP.HCM,Công lập,,,Miền Nam
QHI,Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,Hà Nội,Công lập,,,Miền Bắc
HNM,Trường Đại học Thủ Đô Hà Nội,Hà Nội,Công lập,,,Miền Bắc
GHA,Trường Đại Học Giao Thông Vận Tải,Hà Nội,Công lập,,,Miền Bắc
YTB,Trường Đại Học Y Dược Thái Bình,Thái Bình,Công lập,,,Miền Bắc
KMA,Học Viện Kỹ Thuật Mật Mã,Hà Nội,Công lập,,,Miền Bắc
DCN,Đại Học Công Nghiệp Hà Nội,Hà Nội,Công lập,,,Miền Bắc
YPB,Trường Đại Học Y Dược Hải Phòng,Hải Phòng,Công lập,,,Miền Bắc
IUH,Trường Đại Học Công Nghiệp TPHCM,TP.HCM,Công lập,,,Miền Nam
HPN,Học Viện Phụ Nữ Việt Nam,Hà Nội,Công lập,,,Miền Bắc
DKH,Trường Đại Học Dược Hà Nội,Hà Nội,Công lập,,,Miền Bắc
ANH,Học Viện An Ninh Nhân Dân,Hà Nội,Quân đội/Công an,,,Miền Bắc
DKY,Trường Đại Học Kỹ Thuật Y Tế Hải Dương,Hải Dương,Công lập,,,Miền Bắc
HYD,Học Viện Y Dược Học Cổ Truyền Việt Nam,Hà Nội,Công lập,,,Miền Bắc
CSH,Học Viện Cảnh Sát Nhân Dân,Hà Nội,Quân đội/Công an,,,Miền Bắc
DKK,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Hà Nội,Công lập,,,Miền Bắc
DCT,Trường Đại Học Công Thương TPHCM,TP.HCM,Công lập,,,Miền Nam
LAH,Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,Hà Nội,Quân đội/Công an,,,Miền Bắc
HQH,Học Viện Hải Quân,Hà Nội,Quân đội/Công an,,,Miền Bắc
HHK,Học Viện Hàng không Việt Nam,Hà Nội,Công lập,,,Miền Bắc
PKA,Đại Học Phenikaa,Hà Nội,Tư thục,,,Miền Bắc
PKH,Học Viện Phòng Không – Không Quân,Hà Nội,Quân đội/Công an,,,Miền Bắc
CSS,Trường Đại Học Cảnh Sát Nhân Dân,Hà Nội,Quân đội/Công an,,,Miền Bắc
TTH,Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,Hà Nội,Quân đội/Công an,,,Miền Bắc
NHF,Trường Đại Học Hà Nội,Hà Nội,Công lập,,,Miền Bắc
KQH,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,Hà Nội,Quân đội/Công an,,,Miền Bắc
YTC,Trường Đại Học Y Tế Công Cộng,Hà Nội,Công lập,,,Miền Bắc
HQT,Học Viện Ngoại Giao,Hà Nội,Công lập,,,Miền Bắc
ANS,Trường Đại Học An Ninh Nhân Dân,Hà Nội,Quân đội/Công an,,,Miền Bắc
YCT,Trường Đại Học Y Dược Cần Thơ,Cần Thơ,Công lập,,,Miền Nam
TDM,Trường Đại học Thủ Dầu Một,Hà Nội,Công lập,,,Miền Bắc
TYS,Trường Đại Học Y Khoa Phạm Ngọc Thạch,Hà Nội,Công lập,,,Miền Bắc
DTL,Trường Đại Học Thăng Long,Hà Nội,Công lập,,,Miền Bắc
TLA,Trường Đại Học Thủy Lợi,Hà Nội,Công lập,,,Miền Bắc
QST,Trường Đại Học Khoa Học Tự Nhiên TPHCM,TP.HCM,Công lập,,,Miền Nam
VHH,Trường Đại Học Văn Hóa Hà Nội,Hà Nội,Công lập,,,Miền Bắc
DTT,Trường Đại Học Tôn Đức Thắng,Hà Nội,Công lập,,,Miền Bắc
HVN,Học Viện Nông Nghiệp Việt Nam,Hà Nội,Công lập,,,Miền Bắc
QHX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,Hà Nội,Công lập,,,Miền Bắc
LPH,Trường Đại Học Luật Hà Nội,Hà Nội,Công lập,,,Miền Bắc
QHF,Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,Hà Nội,Công lập,,,Miền Bắc
HBT,Học viện Báo chí và Tuyên truyền,Hà Nội,Công lập,,,Miền Bắc
QHT,Trường Đại Học Khoa Học Tự Nhiên Hà Nội,Hà Nội,Công lập,,,Miền Bắc
QHE,Trường Đại Học Kinh Tế - ĐHQG Hà Nội,Hà Nội,Công lập,,,Miền Bắc
QSX,Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,TP.HCM,Công lập,,,Miền Nam
DTS,Đại Học Sư Phạm Thái Nguyên,Thái Nguyên,Công lập,,,Miền Bắc
LCH,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,Hà Nội,Quân đội/Công an,,,Miền Bắc
TCT,Đại Học Cần Thơ,Cần Thơ,Công lập,,,Miền Nam
DKS,Trường Đại học Kiểm Sát,Hà Nội,Công lập,,,Miền Bắc
BPH,Học Viện Biên Phòng,Hà Nội,Công lập,,,Miền Bắc
QHL,Trường Đại học Luật – ĐHQG Hà Nội,Hà Nội,Công lập,,,Miền Bắc
DHS,Trường Đại Học Sư Phạm Huế,Huế,Công lập,,,Miền Trung
QSC,Trường Đại Học Công Nghệ Thông Tin - ĐHQG TPHCM,TP.HCM,Công lập,,,Miền Nam
SGD,Trường Đại Học Sài Gòn,TP.HCM,Công lập,,,Miền Nam
NQH,Học Viện Khoa Học Quân Sự - Hệ Quân sự,Hà Nội,Quân đội/Công an,,,Miền Bắc
