school_name,year,school_type,province,avg_score,min_score,max_score,total_quota,num_majors
ANH-Học Viện An Ninh Nhân Dân,2020,Quân đội/Công an,Hà Nội,23.46,18.87,26.42,4200,42
ANH-Học Viện An Ninh Nhân Dân,2021,Quân đội/Công an,Hà Nội,23.92,19.28,26.73,4200,42
ANH-Học Viện An Ninh Nhân Dân,2022,Quân đội/Công an,Hà Nội,22.82,18.08,25.98,4200,42
ANH-Học Viện An Ninh Nhân Dân,2023,Quân đội/Công an,Hà Nội,23.08,18.36,26.15,4200,42
ANH-Học Viện An Ninh Nhân Dân,2024,Quân đội/Công an,Hà Nội,23.28,18.57,26.33,4200,42
ANH-Học Viện An Ninh Nhân Dân,2025,Quân đội/Công an,Hà Nội,23.34,18.78,26.27,4200,42
ANS-Trường Đại Học An Ninh Nhân Dân,2020,Quân đội/Công an,Hà Nội,23.32,17.71,26.24,4000,40
ANS-Trường Đại Học An Ninh Nhân Dân,2021,Quân đội/Công an,Hà Nội,23.77,18.12,26.66,4000,40
ANS-Trường Đại Học An Ninh Nhân Dân,2022,Quân đội/Công an,Hà Nội,22.62,17.04,25.75,4000,40
ANS-Trường Đại Học An Ninh Nhân Dân,2023,Quân đội/Công an,Hà Nội,22.87,17.28,25.96,4000,40
ANS-Trường Đại Học An Ninh Nhân Dân,2024,Quân đội/Công an,Hà Nội,23.09,17.42,26.11,4000,40
ANS-Trường Đại Học An Ninh Nhân Dân,2025,Quân đội/Công an,Hà Nội,23.15,17.66,26.05,4000,40
BKA-Đại Học Bách Khoa Hà Nội,2020,Công lập,Hà Nội,25.48,19.0,29.51,36000,360
BKA-Đại Học Bách Khoa Hà Nội,2021,Công lập,Hà Nội,25.9,19.5,29.84,36000,360
BKA-Đại Học Bách Khoa Hà Nội,2022,Công lập,Hà Nội,24.89,18.44,29.14,36000,360
BKA-Đại Học Bách Khoa Hà Nội,2023,Công lập,Hà Nội,25.15,18.75,29.28,36000,360
BKA-Đại Học Bách Khoa Hà Nội,2024,Công lập,Hà Nội,25.32,18.82,29.46,36000,360
BKA-Đại Học Bách Khoa Hà Nội,2025,Công lập,Hà Nội,25.35,19.0,29.39,36000,360
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2020,Công lập,Đắk Lắk,19.51,15.95,22.22,2800,28
BMU-Trường Đại học Y Dược Buôn Ma Thuột,2021,Công lập,Đắk Lắk,20.01,16.47,22.82,2800,28
