school_name,school_type,province,region,overall_avg_score,max_score,total_records
BPH-Học Viện Biên Phòng,Công lập,Hà Nội,Miền Bắc,28.31,30.0,162
LCH-Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,Quân đội/Công an,Hà Nội,Miền Bắc,28.27,29.58,42
KQH-Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,Quân đội/Công an,Hà Nội,Miền Bắc,28.06,29.67,48
YQH-Học Viện Quân Y - Hệ Quân sự,Quân đội/Công an,Hà Nội,Miền Bắc,27.85,30.0,120
MTH-Trường Đại Học Mỹ Thuật Việt Nam,Công lập,Hà Nội,Miền Bắc,27.79,28.23,6
QHS-Trường Đại Học Giáo Dục - ĐHQG Hà Nội,Công lập,Hà Nội,Miền Bắc,27.66,30.0,300
DSD-Trường Đại Học Sân Khấu Điện Ảnh TPHCM,Công lập,TP.HCM,Miền Nam,27.27,28.49,24
NQH-Học Viện Khoa Học Quân Sự - Hệ Quân sự,Quân đội/Công an,Hà Nội,Miền Bắc,26.92,30.0,96
NTS-Trường Đại học Ngoại thương (Cơ sở II),Công lập,Hà Nội,Miền Bắc,26.58,28.74,204
HEH-Học Viện Hậu Cần - Hệ Quân sự,Quân đội/Công an,Hà Nội,Miền Bắc,26.44,28.8,72
NTH-Trường Đại học Ngoại thương,Công lập,Hà Nội,Miền Bắc,26.37,30.0,588
CMC-Trường Đại Học CMC,Công lập,Hà Nội,Miền Bắc,26.2,29.15,3504
NHF-Trường Đại Học Hà Nội,Công lập,Hà Nội,Miền Bắc,26.13,29.32,186
KHA-Đại Học Kinh Tế Quốc Dân,Công lập,Hà Nội,Miền Bắc,26.08,29.3,2088
QSC-Trường Đại Học Công Nghệ Thông Tin - ĐHQG TPHCM,Công lập,TP.HCM,Miền Nam,25.83,30.0,336
QSK-Trường Đại học Kinh Tế Luật TPHCM,Công lập,TP.HCM,Miền Nam,25.63,28.54,840
QHI-Trường Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,Công lập,Hà Nội,Miền Bắc,25.62,28.67,372
DHS-Trường Đại Học Sư Phạm Huế,Công lập,Huế,Miền Trung,25.58,29.39,504
TMU-Trường Đại Học Thương Mại,Công lập,Hà Nội,Miền Bắc,25.52,28.24,1134
VHS-Trường Đại Học Văn Hóa TPHCM,Công lập,TP.HCM,Miền Nam,25.51,27.24,420
DTS-Đại Học Sư Phạm Thái Nguyên,Công lập,Thái Nguyên,Miền Bắc,25.38,28.57,408
HCP-Học Viện Chính Sách và Phát Triển,Công lập,Hà Nội,Miền Bắc,25.36,30.0,336
BKA-Đại Học Bách Khoa Hà Nội,Công lập,Hà Nội,Miền Bắc,25.35,29.84,2160
SP2-Trường Đại Học Sư Phạm Hà Nội 2,Công lập,Hà Nội,Miền Bắc,25.33,28.92,456
QHX-Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,Công lập,Hà Nội,Miền Bắc,25.22,29.41,1146
SPH-Trường Đại Học Sư Phạm Hà Nội,Công lập,Hà Nội,Miền Bắc,25.2,29.51,522
QHF-Trường Đại Học Ngoại Ngữ - Đại học Quốc gia Hà Nội,Công lập,Hà Nội,Miền Bắc,25.11,30.0,792
HQT-Học Viện Ngoại Giao,Công lập,Hà Nội,Miền Bắc,25.1,26.8,666
VHH-Trường Đại Học Văn Hóa Hà Nội,Công lập,Hà Nội,Miền Bắc,25.08,28.04,684
SPS-Trường Đại Học Sư Phạm TPHCM,Công lập,TP.HCM,Miền Nam,25.0,29.94,774
PKH-Học Viện Phòng Không – Không Quân,Quân đội/Công an,Hà Nội,Miền Bắc,24.93,26.96,72
SPK-Trường Đại Học Công nghệ Kỹ thuật TP.HCM,Công lập,TP.HCM,Miền Nam,24.85,30.0,1974
DDS-Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,Công lập,Đà Nẵng,Miền Trung,24.77,29.3,606
HNM-Trường Đại học Thủ Đô Hà Nội,Công lập,Hà Nội,Miền Bắc,24.74,28.6,1236
QHE-Trường Đại Học Kinh Tế - ĐHQG Hà Nội,Công lập,Hà Nội,Miền Bắc,24.59,26.55,252
STS-Trường Đại Học Sư Phạm Thể Dục Thể Thao TPHCM,Công lập,TP.HCM,Miền Nam,24.48,26.32,18
KSA-Đại Học Kinh Tế TPHCM,Công lập,TP.HCM,Miền Nam,24.48,28.17,1662
QHK-Trường Khoa học liên ngành và Nghệ thuật Hà Nội,Công lập,Hà Nội,Miền Bắc,24.46,27.46,534
QHL-Trường Đại học Luật – ĐHQG Hà Nội,Công lập,Hà Nội,Miền Bắc,24.02,24.99,144
KMA-Học Viện Kỹ Thuật Mật Mã,Công lập,Hà Nội,Miền Bắc,24.01,25.13,36
XDA-Trường Đại Học Xây Dựng Hà Nội,Công lập,Hà Nội,Miền Bắc,24.01,27.41,1074
